"11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7";"Units of person transport";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"8766e10f-9f41-4db0-8173-ad0d002a5b98";"fe8da65d-f0ea-4496-b13e-1955aaa412d7"
"258d6abd-14f2-4484-956c-c88e8f6fd8ed";"Units of energy/mass*time";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"c6984745-192d-416f-9728-d6169ba6267f";"94dcd768-ea3e-47da-ba1b-11fea4b5f4cc"
"326eb58b-e5b3-4cea-b45a-2398c25109f8";"Units of length*time";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"b7ffb330-95a8-4815-a78c-47fcdee3b768";"f7fe0af2-e764-4984-bb9f-2cbff6cd2f18"
"36932b14-ba61-417b-a80c-eb9935d193f1";"Units of length*area";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"45915a2c-6ee8-45bd-8a46-070a7261558e";"0dc79b8e-47a1-4ec7-96b1-c9b9da2769fa"
"3dbb60e1-edde-49f7-b28d-f34b4af727b3";"Units of mole*area/mass";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"ac95ed26-5038-4862-8b82-94f1412875cd";"691ae73c-3fc1-4157-85d0-2659bdc2380a"
"5454b231-270e-45e6-89b2-7f4f3e482245";"Units of items*length";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"0ddc622a-bc4a-4cf8-a551-9e112864b77f";"2abb86b6-e71b-4de5-a766-a20e80e59b6d"
"59f191d6-5dd3-4553-af88-1a32accfe308";"Units of mass*time";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"4e10f566-0358-489a-8e3a-d687b66c50e6";"b2ad404c-3e4f-4a7a-a604-46fb36654823"
"59f6a0a2-731f-41c3-86df-d383dc673dfe";"Units of mechanical filtration (occ.)";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"e0d963f9-d6a4-42a5-90e9-fff8452aa2af";"2f1b55fb-a432-447a-a0f5-9b02bf649724"
"5beb6eed-33a9-47b8-9ede-1dfe8f679159";"Units of items";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"01846770-4cfe-4a25-8ad9-919d8d378345";"6dabe201-aaac-4509-92f0-d00c26cb72ab"
"838aaa21-0117-11db-92e3-0800200c9a66";"Units of mass*length";;"00d44049-4768-313c-b2a5-c2d545f8e0ec";"838aaa20-0117-11db-92e3-0800200c9a66";"0dea4ed8-bb6b-4049-b2b4-b2c413ef2180"
