"2a39ac84-f3f0-4296-8907-ffc2f41aebfc";"hh";"Hand";0.1016;;"838aaa22-0117-11db-92e3-0800200c9a66"
"2abb86b6-e71b-4de5-a766-a20e80e59b6d";"Items*km";"Items times kilometre";1;;"5454b231-270e-45e6-89b2-7f4f3e482245"
"2ac22d0d-9e02-4459-9402-923490e4e1b4";"dg";"Decigram";0.0001;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"2d64c7e0-1167-42ec-9988-c441c261a35c";"US fl oz";"US customary fluid ounce";2.96e-05;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"2d895297-8e96-45f1-b256-a6d4ccd4bbc4";"dal";"Decalitre";0.01;"daL";"93a60a57-a3c8-12da-a746-0800200c9a66"
"2df86f1f-293e-4e07-9cde-34eebc6d2c5f";"pt (US fl)";"Pint (US fluid)";0.000473;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"2e16ca4a-9f65-472f-b4cb-274050aaf328";"(cmol*m2*a)/kg";"Centimole times square metre times year per kilogram";1;;"a6941776-ee4b-40fe-9a05-e19faac45240"
"2ea37335-f10b-4fcc-b4a9-0a742d651fa2";"dm3";"Cubic decimeter";0.001;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"2f1b55fb-a432-447a-a0f5-9b02bf649724";"cm*m3";"Centimetre times cubic metre";1;;"59f6a0a2-731f-41c3-86df-d383dc673dfe"
"2f3cc326-da25-4086-b06d-3a7ef914aef6";"DKK 2000";"Danish krone";0.13;;"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"2fdc0039-6c5e-489a-af77-b225684fa337";"g*a";"Gram times year";0.001;;"59f191d6-5dd3-4553-af88-1a32accfe308"
"31ace5ab-d905-46ef-b958-caa2e65d6424";"ftm";"Fathom";1.8288;;"838aaa22-0117-11db-92e3-0800200c9a66"
"35b9b720-0518-4476-941e-282d9654161a";"dm";"Decimetre";0.1;;"838aaa22-0117-11db-92e3-0800200c9a66"
